short_title,full_title,book_type,classes,eras,year,file_format,file_link,description,complexity
Грачёв и др. — 9 класс,"А.В. Грачёв, В.А. Погожев, А.В. Селивёрстов — Физика, 7 класс",theory,9,modern,2021,pdf,books/grachev_9.pdf,"Один из основных современных учебников по физике, приведённый в полное соответствие с государственным образовательным стандартом, а значит — и содержанием экзаменов. При систематической самостоятельной работе содержит всё необходимое для освоение базового курса даже без учителя. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",3
"Пёрышкин, Иванов — 7 класс","И.М. Пёрышкин, А.И. Иванов — Физика, 9 класс",theory,7,"classic,modern",1971,pdf,books/pyoryshkin_7.pdf,"Классический советский учебник, переизданный и адаптированный к современной программе. Прекрасно подойдёт как для самостоятельного изучения предмета, так и для подготовки к экзаменам. Содержит всё необходимое для работы над базовым курсом: теорию, задачи с разбором и без. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",2
"Пёрышкин, Иванов — 8 класс","И.М. Пёрышкин, А.И. Иванов — Физика, 9 класс",theory,8,"classic,modern",1971,pdf,books/pyoryshkin_8.pdf,"Классический советский учебник, переизданный и адаптированный к современной программе. Прекрасно подойдёт как для самостоятельного изучения предмета, так и для подготовки к экзаменам. Содержит всё необходимое для работы над базовым курсом: теорию, задачи с разбором и без. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",2
"Пёрышкин, Иванов — 9 класс","И.М. Пёрышкин, А.И. Иванов — Физика, 9 класс",theory,9,"classic,modern",1971,pdf,books/pyoryshkin_9.pdf,"Классический советский учебник, переизданный и адаптированный к современной программе. Прекрасно подойдёт как для самостоятельного изучения предмета, так и для подготовки к экзаменам. Содержит всё необходимое для работы над базовым курсом: теорию, задачи с разбором и без. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",2
Иродов — Задачи,И.Е. Иродов – Задачи по общей физике,exercises,college,classic,1988,pdf,books/irodov.pdf,"Знаменитый советский задачник для студентов. Содержит задачи высокого уровня сложности, которые подходят ответственным студентам и очень продвинутым старшеклассникам. Теория дана лишь в форме краткой справки, ответы даны без решений за исключением небольшого числа пояснений к особенно тонким местам.",5
"Савельев – Волны, Оптика","И.В. Савельев — Курс общей физики, том 4, Волны, Оптика",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Четвёртый том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
Савельев – Квантовая физика,"И.В. Савельев — Курс общей физики, том 5, Квантовая оптика, атомная физика, физика твёрдого тела, физика атомного ядра и элементарных частиц",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Пятый и заключительный том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
Савельев – Механика,"И.В. Савельев — Курс общей физики, том 1, Механика",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Первый том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
Савельев – Молекулярная физика и ТД,"И.В. Савельев — Курс общей физики, том 3, Молекулярная физика и термодинамика",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Третий том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
Савельев – Электричество и магнетизм,"И.В. Савельев — Курс общей физики, том 2, Электричество и магнетизм",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Второй том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
